Name, Position, Year,Spot, Games, WS, VORP, PER, TS, BPM 
Lonnie Shelton, PF,1976,25,673,0.097,14.7,14.2,0.524,1.1
Jacky Dorsey, SF,1976,26,60,0.031,-0.5,8.4,0.423,-6.2
Phil Hicks, SF,1976,27,57,0.058,-0.1,11,0.472,-2.9
Bob Carrington, SG,1976,28,82,0.036,-0.5,9.4,0.477,-3.1
Dennis Johnson, PG,1976,29,1100,0.11,23.6,14.6,0.511,0.6
Al Fleming, SF,1976,30,20,0.018,-0.1,10.7,0.52,-4.5
Joe Pace, C,1976,31,79,0.092,0,14.3,0.513,-1.8
Mo Howard, SG,1976,32,32,0.084,0.1,14.5,0.516,-0.5
Butch Feher, SG,1976,33,48,0.145,0,15.9,0.603,-1.8
Marshall Rogers, PG,1976,34,26,-0.043,-0.4,9.8,0.408,-9.9
Kent Benson, C,1977,1,680,0.103,11.3,14.2,0.531,0.9
Otis Birdsong, SG,1977,2,696,0.107,12.4,16.5,0.533,0.3
Marques Johnson, SF,1977,3,691,0.162,33.6,20.1,0.556,3.6
Greg Ballard, SF,1977,4,802,0.117,19.3,15.7,0.511,1.5
Walter Davis, SG,1977,5,1033,0.128,19,19.1,0.558,0.6
Kenny Carr, PF,1977,6,674,0.094,4,14.7,0.551,-1.1
Bernard King, SF,1977,7,874,0.123,27.5,19.2,0.561,1.7
Jack Sikma, C,1977,8,1107,0.146,42,17.3,0.54,2.5
Tom LaGarde, C,1977,9,312,0.05,-0.6,11.5,0.512,-2.4
Ray Williams, PG,1977,10,655,0.096,17.4,17.3,0.509,1.7
Ernie Grunfeld, SF,1977,11,693,0.093,3.9,12.7,0.525,-0.8
Cedric Maxwell, SF,1977,12,835,0.159,28.8,16.4,0.629,2.8
Tate Armstrong, SG,1977,13,92,0.017,-0.8,9.9,0.476,-5.3
Tree Rollins, C,1977,14,1156,0.128,24.3,13.6,0.555,2
Brad Davis, PG,1977,15,961,0.115,5.1,14.7,0.587,-1.1
Rickey Green, PG,1977,16,946,0.097,5.8,15.3,0.518,-1
Bo Ellis, PF,1977,17,168,0.06,-0.2,10.2,0.484,-2.4
Wesley Cox, SF,1977,18,74,0.007,-1,8.9,0.449,-6.9
Rich Laurel, SG,1977,19,10,-0.034,-0.1,7.5,0.366,-7.2
Glenn Mosley, PF,1977,20,32,0.042,-0.1,11.2,0.455,-3
Anthony Roberts, SF,1977,21,213,0.041,-2.2,10.7,0.451,-4.3
Norm Nixon, PG,1977,22,768,0.084,5.1,15.3,0.517,-1.3
Mike Glenn, SG,1977,23,593,0.126,1.2,15.1,0.576,-1.5
Larry Johnson, PF,1977,24,707,0.13,28.3,16.3,0.551,2.4
Wilson Washington, PF,1977,25,100,0.06,-0.5,12.4,0.515,-3.1
Glen Gondrezick, SF,1977,26,435,0.101,5.9,13.7,0.525,1.1
Kim Anderson, SF,1977,28,21,-0.078,-0.4,3,0.353,-8.3
Alonzo Bradley, SF,1977,29,99,-0.007,-1,8.6,0.454,-5.6
Steve Sheppard, SF,1977,30,106,0.045,-0.5,10.8,0.486,-3.9
Eddie Owens, SF,1977,31,8,0.027,0,8.8,0.444,-4.9
Toby Knight, SF,1977,32,283,0.103,2.8,15.1,0.544,-0.5
Eddie Jordan, PG,1977,33,420,0.05,1.9,13.1,0.467,-1.1
Larry Moffett, SF,1977,34,20,-0.042,-0.1,4,0.374,-4.7
Mark Landsberger, PF,1977,35,437,0.08,-3.1,12.8,0.497,-3.7
Ben Poquette, PF,1977,36,718,0.093,7.1,12.6,0.53,-0.2
Jeff Wilkins, C,1977,37,454,0.042,-4.8,10.5,0.495,-3.9
Phil Walker, SG,1977,39,40,-0.045,-0.4,9,0.438,-6
Robert Reid, SF,1977,40,919,0.077,13,13.1,0.494,0
T.R. Dunn, SG,1977,41,993,0.083,18.5,10.4,0.5,1.2
Bob Elliott, PF,1977,42,141,0.063,-0.1,12.3,0.544,-2.1
Essie Hollis, SF,1977,44,25,0.022,-0.1,11.8,0.43,-4.6
Mychal Thompson, C,1978,1,935,0.102,18.2,15.7,0.537,0.6
Phil Ford, PG,1978,2,482,0.083,-0.4,13.9,0.531,-2.1
Rick Robey, C,1978,3,493,0.086,1.1,12.8,0.534,-1.5
Micheal Ray Richardson, PG,1978,4,556,0.091,25.9,16.9,0.497,3.5
Purvis Short, SF,1978,5,842,0.1,11.6,16.9,0.525,-0.1
Larry Bird, SF,1978,6,897,0.203,79.7,23.5,0.564,7.2
Ron Brewer, SG,1978,7,501,0.065,-0.8,13,0.502,-2.3
Freeman Williams, SG,1978,8,323,0.072,-2.1,17.9,0.519,-3.2
Reggie Theus, SG,1978,9,1026,0.093,18.4,16.6,0.545,0.1
Butch Lee, PG,1978,10,96,0.062,-0.3,13.5,0.507,-2.7
James Hardy, PF,1978,11,249,0.056,1.5,11.4,0.508,-0.9
George Johnson, PF,1978,12,464,0.068,3.4,14,0.51,-0.6
Winford Boynes, SG,1978,13,177,0.014,-2.2,10.8,0.482,-4.9
Roger Phegley, SG,1978,14,345,0.071,-0.6,13.6,0.523,-2.4
Mike Mitchell, SF,1978,15,759,0.098,0.4,16.7,0.529,-1.9
Jack Givens, SF,1978,16,156,0.079,0.3,12.3,0.451,-1.5
Dave Corzine, C,1978,18,891,0.086,9.3,13.6,0.526,-0.2
Marty Byrnes, SF,1978,19,263,0.048,-1.1,10.8,0.516,-3
Frankie Sanders, SF,1978,20,69,0.038,-0.3,13.6,0.485,-3.5
Mike Evans, PG,1978,21,591,0.045,-3.7,12,0.514,-3.5
Raymond Townsend, SG,1978,22,154,0.023,-1.3,9.8,0.451,-4.6
Terry Tyler, SF,1978,23,871,0.09,11.4,14.6,0.512,0.1
Keith Herron, SG,1978,24,124,0.058,-0.6,12.6,0.494,-2.8
Rick Wilson, SG,1978,25,66,0.013,-0.2,9,0.416,-3.5
Ron Carter, SG,1978,26,59,-0.017,-0.4,8,0.468,-5.9
Wayne Radford, SG,1978,27,52,0.049,-0.2,9.7,0.518,-2.9
John Long, SG,1978,29,893,0.068,1.2,14.2,0.512,-1.8
Jeff Judkins, SF,1978,30,272,0.088,0.1,12.9,0.532,-1.9
John Rudd, SF,1978,32,58,0.04,-0.3,8.2,0.529,-3.4
Harry Davis, SF,1978,33,44,0.033,-0.4,10.3,0.473,-5.4
Greg Bunch, SF,1978,34,12,0.046,0,9.2,0.448,-4
Maurice Cheeks, PG,1978,36,1101,0.143,33.9,16.5,0.572,1.9
Wayne Cooper, C,1978,40,984,0.087,1.4,13.4,0.494,-1.7
Jerome Whitehead, C,1978,41,679,0.067,-4.4,12,0.535,-3.5
Glenn Hagan, PG,1978,43,4,0.201,0,18.1,0.47,3.7
Clemon Johnson, C,1978,44,761,0.092,5.4,12.7,0.519,-0.4
Magic Johnson, PG,1979,1,906,0.225,77.4,24.1,0.61,7.2
Bill Cartwright, C,1979,3,963,0.127,10.7,15.2,0.588,-0.5
Greg Kelser, SF,1979,4,305,0.069,1.9,14.2,0.54,-0.8
Sidney Moncrief, SG,1979,5,767,0.187,33.9,18.7,0.591,3.8
James Bailey, PF,1979,6,595,0.067,-0.8,13,0.53,-2.3
Vinnie Johnson, SG,1979,7,984,0.1,15.2,15.2,0.506,0.5
Calvin Natt, SF,1979,8,599,0.146,15.1,17.9,0.579,1.2
Larry Demic, PF,1979,9,206,0.022,-2.1,8.1,0.486,-4.6
Jim Paxson, SG,1979,12,784,0.121,9,16.1,0.547,-0.3
Dudley Bradley, SG,1979,13,600,0.078,6.7,12,0.5,0.6
Brad Holland, SG,1979,14,93,0.026,-0.5,10.2,0.452,-5
Phil Hubbard, SF,1979,15,665,0.088,5.3,13.9,0.55,-0.7
Jim Spanarkel, SG,1979,16,259,0.112,3.3,16,0.567,0.5
Lee Johnson, PF,1979,17,12,-0.095,-0.2,0.8,0.313,-11.4
Reggie King, SF,1979,18,438,0.105,7,13.1,0.558,0.5
Wiley Peck, SF,1979,19,52,0.023,-0.2,8.9,0.466,-3.5
Sly Williams, SF,1979,21,305,0.097,4.3,16,0.521,0.6
Kyle Macy, PG,1979,22,551,0.121,7.9,14,0.559,0.2
Johnny High, PG,1979,24,274,0.05,1.3,9.4,0.486,-0.9
Ollie Mack, SG,1979,25,128,0.048,0.1,12,0.485,-1.9
Bruce Flowers, PF,1979,26,53,0.119,0.4,15.2,0.569,0.1
Reggie Carter, SG,1979,27,135,0.014,-0.9,9.1,0.449,-4.6
Tony Price, SG,1979,29,5,-0.089,-0.1,2.4,0.286,-10.6
Gary Garland, PG,1979,30,78,0.02,-0.4,10.2,0.454,-3.5
Edgar Jones, PF,1979,31,363,0.103,2.7,15.1,0.562,-0.4
Tony Zeno, SF,1979,32,8,-0.16,-0.2,0.2,0.32,-12.1
Clint Richardson, SG,1979,36,586,0.067,0.6,11.1,0.498,-1.8
Bernard Toone, PF,1979,37,23,-0.036,-0.1,8.9,0.402,-6
Paul Mokeski, C,1979,42,694,0.067,-1.4,8.9,0.496,-2.6
Johnny Moore, PG,1979,43,520,0.108,11,16.7,0.505,1.2
Joe Barry Carroll, C,1980,1,705,0.075,7.5,16.4,0.519,-0.7
Darrell Griffith, SG,1980,2,765,0.049,3.6,14.6,0.509,-1.3
Kevin McHale, PF,1980,3,971,0.18,33.9,20,0.605,2.5
Kelvin Ransey, PG,1980,4,474,0.074,-1.3,14.8,0.499,-2.4
Mike O'Koren, SF,1980,6,407,0.08,3.2,12.1,0.517,-0.5
Mike Gminski, C,1980,7,938,0.111,8.7,16.3,0.528,-0.6
Andrew Toney, SG,1980,8,468,0.103,2.6,16.1,0.565,-1.2
Michael Brooks, SF,1980,9,319,0.085,7.1,15.2,0.524,1
Ronnie Lester, PG,1980,10,250,0.061,-0.8,13,0.533,-2.7
Kiki Vandeweghe, SF,1980,11,810,0.148,11.7,18.4,0.594,-0.1
Mike Woodson, SG,1980,12,786,0.083,4.9,15,0.522,-1
Rickey Brown, C,1980,13,340,0.051,-2.7,9.8,0.497,-4.4
Wes Matthews, PG,1980,14,465,0.057,-2.2,13,0.53,-2.9
Reggie Johnson, PF,1980,15,305,0.088,0.1,12.5,0.54,-1.9
Larry Drew, PG,1980,17,22,-0.081,-0.7,4.1,0.378,-11.3
Don Collins, SF,1980,18,303,0.082,3.7,14.5,0.524,0.4
John Duren, PG,1980,19,201,-0.014,-2.9,6.9,0.461,-5.8
Bill Hanzlik, SF,1980,20,748,0.076,3.8,11.2,0.522,-1
Monti Davis, PF,1980,21,2,-0.311,-0.1,4.5,0.208,-22.3
Chad Kinch, SG,1980,22,41,-0.071,-0.6,7,0.396,-8.3
Carl Nicks, PG,1980,23,156,-0.007,-1.6,10.5,0.484,-4.5
Larry Smith, PF,1980,24,883,0.096,15,12.6,0.541,0.6
Jeff Ruland, C,1980,25,332,0.149,15.4,18.7,0.615,3.5
Sam Worthen, PG,1980,26,69,0.032,-0.1,8.7,0.535,-2.3
John Stroud, SF,1980,27,9,-0.036,-0.1,6.4,0.35,-6.5
Craig Shelton, SF,1980,28,59,-0.001,-0.5,8.7,0.477,-5.4
Louis Orr, SF,1980,29,569,0.093,5.4,13.4,0.527,-0.4
Kenny Natt, SG,1980,30,49,-0.026,-0.5,7.3,0.444,-7.4
Wayne Robinson, PF,1980,31,81,0.052,-0.3,11.5,0.523,-2.8
Rick Mahorn, PF,1980,35,1117,0.096,10.7,11.6,0.535,-0.3
Butch Carter, SG,1980,37,361,0.06,-0.8,12.7,0.523,-2.5
Michael Wiley, PF,1980,39,94,0.107,0.1,17,0.596,-1.6
Dick Miller, SF,1980,40,8,-0.102,-0.1,3.3,0.444,-6.3
Jawann Oldham, C,1980,41,329,0.039,0.2,10.7,0.504,-1.9
Brad Branson, PF,1980,45,72,0.053,-0.3,14.4,0.474,-3.5
Mark Aguirre, SF,1981,1,923,0.117,22.7,19,0.542,1.3
Isiah Thomas, PG,1981,2,979,0.109,37.5,18.1,0.516,2.2
Buck Williams, PF,1981,3,1307,0.136,34.8,15.3,0.587,1.2
Al Wood, SG,1981,4,417,0.074,0.5,13.9,0.515,-1.8
Danny Vranes, SF,1981,5,510,0.069,4.4,9.3,0.519,-0.4
Orlando Woolridge, SF,1981,6,851,0.106,9.8,16.6,0.567,-0.4
Steve Johnson, C,1981,7,626,0.095,4.5,15.3,0.6,-0.7
Tom Chambers, PF,1981,8,1107,0.112,13.2,16.5,0.542,-0.5
Rolando Blackman, SG,1981,9,980,0.113,15.3,16.7,0.555,-0.1
Albert King, SF,1981,10,534,0.061,1.8,13.1,0.503,-1.5
Frank Johnson, PG,1981,11,596,0.064,-0.8,12.7,0.493,-2.2
Kelly Tripucka, SF,1981,12,707,0.102,11.3,16.2,0.552,0.1
Herb Williams, C,1981,14,1102,0.061,6.7,13.6,0.499,-1.1
Jeff Lamp, SF,1981,15,291,0.072,-1.2,11.5,0.522,-3.3
Darnell Valentine, PG,1981,16,620,0.074,2.3,14,0.507,-1.4
Kevin Loder, SF,1981,17,148,0.055,-0.3,11.9,0.498,-2.5
Ray Tolbert, PF,1981,18,261,0.051,-0.6,9.8,0.51,-2.9
Mike McGee, SF,1981,19,520,0.078,2.5,14,0.535,-0.9
Larry Nance, C,1981,20,192,0.134,3.5,16.5,0.576,1.4
Alton Lister, C,1981,21,953,0.093,7.9,12.9,0.539,-0.3
Franklin Edwards, PG,1981,22,296,0.043,-2.1,12.6,0.494,-3.9
Charles Bradley, SG,1981,23,110,0.016,-0.5,8.4,0.463,-4.1
Jay Vincent, SF,1981,24,576,0.085,2.3,15.9,0.523,-1.4
Tracy Jackson, SG,1981,25,129,0.064,-0.1,11.8,0.51,-2.2
Howard Wood, SF,1981,27,42,0.049,-0.4,12,0.504,-6.2
Gene Banks, SF,1981,28,468,0.115,13.3,15.1,0.579,2
Eddie Johnson, SF,1981,29,1199,0.097,9.1,15.9,0.533,-0.9
Ed Rains, SF,1981,30,83,0.034,-0.3,8.2,0.467,-3.4
Danny Ainge, SG,1981,31,1042,0.124,23,14.7,0.555,1.3
Ken Green, PF,1981,34,7,0.184,0,19.3,0.501,-0.5
Charlie Davis, SG,1981,35,144,0.026,-0.2,11.9,0.463,-9.9
Ray Blume, SG,1981,36,49,-0.013,-0.5,9.7,0.482,-5.9
Claude Gregory, PF,1981,41,25,0.007,-0.2,12.9,0.448,-4.2
Elston Turner, SF,1981,43,505,0.045,0.9,9.6,0.459,-1.6
Steve Lingenfelter, PF,1981,44,10,0.009,0,3.1,0.519,-3.4
James Worthy, SF,1982,1,926,0.13,28.5,17.7,0.559,1.8
Terry Cummings, PF,1982,2,1183,0.129,24.9,18.3,0.52,0.9
Dominique Wilkins, SF,1982,3,1074,0.148,41.8,21.6,0.536,2.3
Bill Garnett, PF,1982,4,300,0.099,2.7,12.3,0.558,0.1
LaSalle Thompson, C,1982,5,985,0.079,8.3,13.6,0.535,-0.5
Trent Tucker, SG,1982,6,756,0.105,9,12.9,0.528,0.3
Quintin Dailey, SG,1982,7,528,0.05,-2.7,15.1,0.508,-2.9
Clark Kellogg, PF,1982,8,260,0.118,8.9,19.3,0.54,2.1
Cliff Levingston, PF,1982,9,830,0.125,14.4,13.8,0.554,1.4
Keith Edmonson, SG,1982,10,87,0.022,-0.6,12.6,0.495,-4.6
John Bagley, PG,1982,12,665,0.047,0.3,13,0.488,-1.9
Sleepy Floyd, PG,1982,13,957,0.092,10.1,15.5,0.531,-0.5
Lester Conner, PG,1982,14,687,0.092,10.5,14.1,0.513,0.8
David Thirdkill, SF,1982,15,179,0.042,-0.9,8,0.494,-4.6
Terry Teagle, SG,1982,16,687,0.044,-5.6,13.7,0.509,-3.5
Brook Steppe, SG,1982,17,238,0.078,-0.6,12.5,0.559,-2.9
Ricky Pierce, SG,1982,18,969,0.146,11.5,17.7,0.573,-0.1
Rob Williams, PG,1982,19,153,0.03,-1.2,12.2,0.504,-3.4
Paul Pressey, SG,1982,20,724,0.12,22,15.5,0.548,2.4
Eddie Phillips, SF,1982,21,48,0.011,-0.4,7.5,0.464,-5.3
Mark McNamara, C,1982,22,278,0.049,-1.9,10.8,0.537,-4.8
Darren Tillis, C,1982,23,124,0.036,-0.8,10,0.447,-4.7
Oliver Robinson, SG,1982,24,35,0.018,-0.2,14.1,0.432,-6.5
Bryan Warrick, PG,1982,25,169,0.033,-1.5,9,0.498,-4.5
Fred Roberts, PF,1982,27,818,0.086,1.7,12.6,0.566,-1.6
Dave Magley, SF,1982,28,14,-0.066,-0.1,3.9,0.307,-8.9
Scott Hastings, PF,1982,29,578,0.079,-0.1,9.2,0.525,-2.1
Wallace Bryant, C,1982,30,102,0.044,0,9.4,0.435,-1.9
Rod Higgins, SF,1982,31,779,0.106,8.3,13.5,0.56,-0.1
Richard Anderson, PF,1982,32,407,0.061,1.2,12.3,0.476,-1.2
Linton Townes, SF,1982,33,60,0.057,-0.2,11.5,0.484,-3.8
Vince Taylor, SG,1982,34,31,0.009,0,7.6,0.409,-2.5
Derek Smith, SG,1982,35,408,0.089,3.2,15.1,0.553,-0.7
Audie Norris, C,1982,37,187,0.054,-0.2,9.1,0.567,-2.3
Wayne Sappleton, PF,1982,38,33,0.012,-0.4,7.7,0.471,-6.8
Guy Morgan, SG,1982,40,8,-0.059,0,9.9,0.291,-5.3
Dwight Anderson, PG,1982,41,5,0.001,-0.1,10.6,0.571,-9
Jeff Taylor, SG,1982,42,56,-0.008,-0.4,8.1,0.46,-4
Jose Slaughter, SG,1982,43,63,-0.007,-0.3,10.5,0.426,-3.9
Mike Gibson, PF,1982,44,64,0.042,-0.2,8.6,0.427,-4
Russ Schoene, PF,1982,45,290,0.061,-0.9,11.1,0.485,-3
Ralph Sampson, C,1983,1,456,0.071,6.8,16,0.518,0
Steve Stipanovich, C,1983,2,403,0.116,9.9,15.1,0.547,1.1
Rodney McCray, SF,1983,3,768,0.108,23,14.4,0.556,1.6
Byron Scott, SG,1983,4,1073,0.12,18.6,15.5,0.556,0.4
Sidney Green, PF,1983,5,679,0.063,-2.5,12.1,0.504,-2.7
Russell Cross, C,1983,6,45,0.106,0,15.3,0.546,-1.8
Thurl Bailey, PF,1983,7,928,0.087,4.2,14.3,0.523,-1.3
Antoine Carr, PF,1983,8,987,0.102,7,14.2,0.551,-0.6
Dale Ellis, SG,1983,9,1209,0.117,20.5,16,0.567,0.3
Jeff Malone, SG,1983,10,905,0.088,-0.9,15.2,0.533,-2.1
Derek Harper, PG,1983,11,1199,0.11,30.2,16,0.537,1.2
Darrell Walker, PG,1983,12,720,0.071,14.2,13.7,0.486,1
Ennis Whatley, PG,1983,13,385,0.065,-0.8,13,0.519,-2.5
Clyde Drexler, SG,1983,14,1086,0.173,75.6,21.1,0.547,6
Howard Carter, SG,1983,15,66,-0.002,-0.7,10.3,0.479,-5.6
Jon Sundvold, PG,1983,16,502,0.048,-6.2,12.5,0.507,-4.8
Leo Rautins, SF,1983,17,32,-0.03,-0.2,5.8,0.373,-5.3
Randy Breuer, C,1983,18,681,0.08,2.5,13.2,0.497,-1.2
John Paxson, PG,1983,19,772,0.101,-2.7,12,0.548,-2.6
Roy Hinson, SF,1983,20,507,0.093,4.3,14.7,0.55,-0.9
Greg Kite, C,1983,21,680,0.027,-2.8,6.5,0.454,-3.1
Randy Wittman, SG,1983,22,543,0.071,0.8,11.2,0.523,-1.7
Mitchell Wiggins, SG,1983,23,389,0.09,2.5,13.8,0.502,-0.8
Stewart Granger, PG,1983,24,80,-0.005,-1,8.4,0.47,-6
Sidney Lowe, PG,1983,25,193,0.055,-1.4,10.4,0.444,-3.7
Leroy Combs, SF,1983,26,48,0.041,-0.1,13.5,0.537,-3.3
John Garris, PF,1983,27,33,0.166,0.1,18.5,0.56,-0.6
Rod Foster, PG,1983,28,207,0.031,-1.8,10.9,0.499,-4.1
Larry Micheaux, PF,1983,29,96,0.134,0.7,15.3,0.583,0.9
Mark West, C,1983,30,1090,0.1,5.6,12,0.592,-0.9
Doc Rivers, PG,1983,31,864,0.139,30.3,16.6,0.534,3.1
Dirk Minniefield, PG,1983,33,222,0.052,-0.6,11.4,0.514,-2.6
Guy Williams, PF,1983,34,26,0.055,0,13.6,0.467,-3.1
Darrell Lockhart, C,1983,35,2,-0.048,0,1.6,1,-10.7
Scooter McCray, PF,1983,36,77,0.023,-0.3,8.3,0.471,-3.3
Chris McNealy, PF,1983,38,108,0.066,0.6,10.3,0.499,-0.7
Granville Waiters, C,1983,39,249,0.036,-0.6,8.3,0.473,-3
Jim Thomas, SG,1983,40,161,0.071,0.3,12.5,0.521,-1.6
Mike Davis, PF,1983,42,8,0.235,0,21.1,0.486,-7.5
Pace Mannion, SF,1983,43,216,0.038,-0.5,9.4,0.465,-2.9
Kevin Williams, SG,1983,46,260,0.042,-0.6,10.6,0.492,-2.8
Hakeem Olajuwon, C,1984,1,1238,0.177,77.1,23.6,0.553,4.9
Sam Bowie, C,1984,2,511,0.091,7.2,14.6,0.51,0
Michael Jordan, SG,1984,3,1072,0.25,104.4,27.9,0.569,8.1
Sam Perkins, PF,1984,4,1286,0.138,31.4,15.5,0.552,1.4
Charles Barkley, PF,1984,5,1073,0.216,93.5,24.6,0.612,7.4
Alvin Robertson, SG,1984,7,779,0.101,37.3,17,0.527,4
Lancaster Gordon, SG,1984,8,201,-0.05,-2.5,9.4,0.433,-5.8
Otis Thorpe, PF,1984,9,1257,0.128,32.2,16,0.584,1.2
Leon Wood, PG,1984,10,274,0.071,-1.5,12.6,0.503,-3.3
Kevin Willis, PF,1984,11,1424,0.102,2,15.7,0.525,-1.8
Tim McCormick, C,1984,12,483,0.099,1.4,12.8,0.579,-1.5
Jay Humphries, PG,1984,13,788,0.094,10.6,13.9,0.533,-0.2
Michael Cage, C,1984,14,1140,0.12,21.9,13.9,0.549,0.9
Terence Stansbury, SG,1984,15,192,0.038,-1.3,9.9,0.504,-3.7
John Stockton, PG,1984,16,1504,0.209,65.9,21.8,0.608,3.5
Jeff Turner, PF,1984,17,612,0.038,-4.1,8.4,0.512,-3.4
Vern Fleming, PG,1984,18,893,0.101,14.3,15.1,0.55,0.3
Bernard Thompson, SF,1984,19,204,0.056,-0.5,10.2,0.5,-2.6
Tony Campbell, SF,1984,20,690,0.065,1.2,14.5,0.509,-1.7
Kenny Fields, SF,1984,21,184,0.074,-0.1,11.7,0.516,-2.1
Tom Sewell, SG,1984,22,21,-0.201,-0.2,-2.7,0.265,-13.1
Earl Jones, C,1984,23,14,-0.09,-0.1,0.2,0.44,-8.1
Michael Young, SF,1984,24,49,0.11,0.1,15.5,0.51,-1.4
Devin Durrant, SF,1984,25,63,-0.012,-0.7,8.6,0.464,-5.3
Ron Anderson, SF,1984,27,664,0.077,1.1,14.3,0.517,-1.7
Cory Blackwell, SF,1984,28,60,-0.081,-0.9,6.4,0.387,-8.4
Stuart Gray, C,1984,29,386,0.046,-1.8,8.6,0.497,-4
Steve Burtt, SG,1984,30,101,0,-1.1,10.4,0.483,-6
Jay Murphy, PF,1984,31,67,-0.052,-0.9,6.7,0.373,-10.2
Steve Colter, PG,1984,33,526,0.087,2,12.9,0.509,-1.2
Othell Wilson, PG,1984,35,127,0.032,-0.5,11.3,0.502,-3
Charles Jones, SG,1984,36,85,-0.001,-0.7,9.4,0.43,-4.3
Ben Coleman, PF,1984,37,227,0.067,-1.1,12.3,0.566,-3.2
Charlie Sitton, SF,1984,38,43,0.008,-0.2,8,0.433,-4.2
Danny Young, PG,1984,39,574,0.101,1.7,12.2,0.525,-1.3
Tom Sluby, SG,1984,41,31,0.052,-0.1,12.2,0.543,-5.1
Willie White, SG,1984,42,82,0.028,-0.3,13.2,0.478,-4.1
Gary Plummer, PF,1984,45,126,0.006,-1.5,8.1,0.49,-6.1
Jerome Kersey, SF,1984,46,1153,0.119,26.6,14.9,0.508,1.8
Patrick Ewing, SF,1985,1,7,-0.158,0,0.6,0.222,-9.3
Wayman Tisdale, PF,1985,2,840,0.092,0,15.7,0.543,-2
Benoit Benjamin, C,1985,3,807,0.072,4,14.8,0.544,-1.3
Xavier McDaniel, SF,1985,4,870,0.091,13.4,16.1,0.522,0.1
Jon Koncak, C,1985,5,784,0.085,8,9.8,0.499,-0.1
Joe Kleine, C,1985,6,965,0.062,-5.9,10.5,0.499,-3.6
Chris Mullin, SF,1985,7,986,0.139,38.7,18.8,0.594,2.8
Detlef Schrempf, SF,1985,8,1136,0.156,35,17.2,0.586,2.1
Charles Oakley, PF,1985,9,1282,0.107,35.3,13.4,0.526,1.5
Ed Pinckney, PF,1985,10,793,0.13,11.2,14.8,0.602,0.8
Keith Lee, PF,1985,11,182,0.062,0,12.2,0.493,-2
Kenny Green, SF,1985,12,60,-0.022,-1.1,8.1,0.454,-9.3
Karl Malone, PF,1985,13,1476,0.205,102.5,23.9,0.577,5.4
Alfredrick Hughes, SG,1985,14,68,-0.029,-1,8.2,0.435,-6.5
Blair Rasmussen, C,1985,15,532,0.08,-3.1,13.3,0.5,-3.1
Bill Wennington, C,1985,16,720,0.087,-2.7,10.9,0.499,-3.1
Uwe Blab, C,1985,17,235,0.009,-1.4,6.6,0.481,-4.8
Joe Dumars, SG,1985,18,1018,0.118,19.3,15.3,0.554,0.2
Steve Harris, SG,1985,19,207,0.053,-1.2,13.3,0.481,-3.7
Sam Vincent, PG,1985,20,396,0.069,-0.9,14.1,0.521,-2.5
Terry Catledge, PF,1985,21,515,0.074,-1,14.1,0.523,-2.3
Jerry Reynolds, SF,1985,22,443,0.06,3.5,15,0.494,-0.3
A.C. Green, PF,1985,23,1278,0.131,22.2,14.4,0.557,0.4
Terry Porter, PG,1985,24,1274,0.15,35.9,17.2,0.576,2
Mike Smrek, C,1985,25,194,0.018,-1.4,7.4,0.475,-5
Bill Martin, SF,1985,26,84,0.016,-0.7,10.4,0.488,-5.1
Dwayne McClain, SF,1985,27,45,-0.026,-0.3,8.3,0.402,-4.8
Ken Johnson, C,1985,28,16,-0.002,-0.3,6.1,0.404,-10
Mike Brittain, C,1985,29,38,-0.011,-0.3,4.7,0.514,-6.6
Manute Bol, C,1985,31,624,0.051,4.2,9.4,0.441,-0.6
Nick Vanos, C,1985,32,68,-0.007,-0.5,7.7,0.417,-4.2
Greg Stokes, PF,1985,33,42,0.041,-0.1,9,0.471,-3.5
Tyrone Corbin, SF,1985,35,1065,0.098,19.2,13.1,0.511,0.8
Yvon Joseph, C,1985,36,1,0.309,0,12.8,1.136,-0.9
Carey Scurry, SF,1985,37,180,0.107,3,14.1,0.531,3
Fernando Martin, C,1985,38,24,-0.144,-0.2,-0.9,0.307,-8.7
Mark Acres, C,1985,40,375,0.075,0,9,0.551,-2
Lorenzo Charles, SF,1985,41,36,0.086,-0.1,11.5,0.587,-3.6
Barry Stevens, SF,1985,43,2,0.157,0,15.2,0.5,-4.9
Voise Winters, SF,1985,44,4,-0.355,-0.1,-5.6,0.231,-25.5
Hot Rod Williams, C,1985,45,887,0.129,25.1,15.6,0.535,1.8
Adrian Branch, SF,1985,46,130,0.07,-0.3,15.1,0.506,-2.9
Gerald Wilkins, SG,1985,47,900,0.062,5.6,13,0.504,-1.1
Brad Daugherty, C,1986,1,548,0.156,23.1,18.9,0.59,2.6
Chris Washburn, C,1986,3,72,-0.046,-1,7.6,0.424,-7.9
Chuck Person, SF,1986,4,943,0.065,12.9,13.7,0.53,-0.2
Kenny Walker, SF,1986,5,448,0.095,1.7,11.9,0.533,-1.2
William Bedford, C,1986,6,238,0.017,-2,9.7,0.446,-5.1
Roy Tarpley, PF,1986,7,280,0.127,4.2,18.4,0.523,0.2
Ron Harper, SG,1986,8,1009,0.101,32,15.6,0.511,2.1
Brad Sellers, PF,1986,9,398,0.066,-1,11.1,0.498,-2.6
Johnny Dawkins, PG,1986,10,541,0.07,0.7,14.7,0.522,-1.8
John Salley, PF,1986,11,748,0.121,15.6,12.8,0.567,1.7
